sep=;
11:59; Saturday; October 05; 2024
Study name:Rear_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;  ;2  ;8.5124e+07  ;-9.6434e+07  ;1.6698e+08  ;-1.2865e+07  ;2.7795e+08
  ;30  ;1  ;7.9375e+07  ;-9.0501e+07  ;1.6698e+08  ;-2.1042e+07  ;2.693e+08
  ;  ;2  ;7.9374e+07  ;-1.0326e+08  ;3.8369e+07  ;-2.1042e+07  ;1.8953e+08
  ;31  ;1  ;7.1213e+07  ;-9.4383e+07  ;3.8369e+07  ;-2.9688e+07  ;1.731e+08
  ;  ;2  ;7.1212e+07  ;-1.0714e+08  ;-1.3255e+08  ;-2.9688e+07  ;2.4165e+08
  ;32  ;1  ;6.0887e+07  ;-9.5203e+07  ;-1.3255e+08  ;-3.8539e+07  ;2.2408e+08
  ;  ;2  ;6.0886e+07  ;-1.0796e+08  ;-3.4058e+08  ;-3.8539e+07  ;4.1817e+08
  ;33  ;1  ;4.871e+07  ;-9.2937e+07  ;-3.4058e+08  ;-4.7328e+07  ;4.0174e+08
  ;  ;2  ;4.8709e+07  ;-1.057e+08  ;-5.794e+08  ;-4.7328e+07  ;6.3767e+08
  ;34  ;1  ;4.1164e+07  ;-9.5883e+07  ;-5.794e+08  ;-5.2292e+07  ;6.2845e+08
  ;  ;2  ;4.1164e+07  ;-9.7516e+07  ;-6.118e+08  ;-5.2292e+07  ;6.6068e+08
  ;35  ;1  ;-1.1805e+07  ;-1.341e+08  ;-5.6492e+08  ;1.7112e+07  ;5.9242e+08
  ;  ;2  ;-1.1806e+07  ;-1.0093e+08  ;-5.659e+08  ;1.7112e+07  ;5.8664e+08
  ;36  ;1  ;-1.1706e+07  ;-1.0516e+08  ;-5.659e+08  ;8.6758e+06  ;5.873e+08
  ;  ;2  ;-1.1707e+07  ;-6.7136e+07  ;-5.6085e+08  ;8.6758e+06  ;5.7656e+08
  ;37  ;1  ;-1.1256e+07  ;-6.9129e+07  ;-5.6085e+08  ;2.715e+06  ;5.7635e+08
  ;  ;2  ;-1.1258e+07  ;-3.1109e+07  ;-5.4935e+08  ;2.715e+06  ;5.6149e+08
Beam-5(Circuler tube 1X0.06(16_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;
  ;38  ;1  ;-8.1747e+07  ;4.3195e+09  ;4.3833e+08  ;7.1797e+07  ;4.4235e+09
  ;  ;2  ;-8.1747e+07  ;4.3091e+09  ;4.3174e+08  ;7.1797e+07  ;4.4125e+09
  ;39  ;1  ;-8.1747e+07  ;4.3092e+09  ;4.3164e+08  ;7.179e+07  ;4.4125e+09
  ;  ;2  ;-8.1747e+07  ;4.2988e+09  ;4.2508e+08  ;7.179e+07  ;4.4015e+09
  ;40  ;1  ;-8.1747e+07  ;4.2988e+09  ;4.2513e+08  ;7.1794e+07  ;4.4015e+09
  ;  ;2  ;-8.1747e+07  ;4.2884e+09  ;4.1859e+08  ;7.1794e+07  ;4.3905e+09
  ;41  ;1  ;-8.1747e+07  ;4.2884e+09  ;4.1858e+08  ;7.1794e+07  ;4.3905e+09
  ;  ;2  ;-8.1747e+07  ;4.278e+09  ;4.1207e+08  ;7.1794e+07  ;4.3795e+09
  ;42  ;1  ;-8.1747e+07  ;4.278e+09  ;4.1208e+08  ;7.1793e+07  ;4.3795e+09
  ;  ;2  ;-8.1747e+07  ;4.2676e+09  ;4.0559e+08  ;7.1793e+07  ;4.3686e+09
  ;43  ;1  ;-8.1747e+07  ;4.2676e+09  ;4.0553e+08  ;7.1797e+07  ;4.3686e+09
  ;  ;2  ;-8.1747e+07  ;4.2572e+09  ;3.9907e+08  ;7.1797e+07  ;4.3577e+09
  ;44  ;1  ;-8.1747e+07  ;4.2572e+09  ;3.9916e+08  ;7.179e+07  ;4.3577e+09
  ;  ;2  ;-8.1747e+07  ;4.2469e+09  ;3.9272e+08  ;7.179e+07  ;4.3467e+09
Beam-6(Circuler tube 1X0.08(14_GAUGE)(2)[5])  ;  ;  ;  ;  ;  ;  ;
  ;45  ;1  ;2.9604e+07  ;-1.6105e+08  ;1.9726e+09  ;-6.4899e+07  ;2.0088e+09
  ;  ;2  ;2.9607e+07  ;-1.1245e+08  ;1.3675e+09  ;-6.4899e+07  ;1.4017e+09
  ;46  ;1  ;2.9607e+07  ;-1.1245e+08  ;1.3675e+09  ;-6.4899e+07  ;1.4017e+09
  ;  ;2  ;2.961e+07  ;-6.3847e+07  ;7.6244e+08  ;-6.4899e+07  ;7.9471e+08
  ;47  ;1  ;2.961e+07  ;-6.381e+07  ;7.6244e+08  ;-6.49e+07  ;7.9471e+08
  ;  ;2  ;2.9613e+07  ;-1.5235e+07  ;1.5737e+08  ;-6.49e+07  ;1.8772e+08
  ;48  ;1  ;2.9613e+07  ;-1.5242e+07  ;1.5737e+08  ;-6.49e+07  ;1.8772e+08
  ;  ;2  ;2.9616e+07  ;3.3364e+07  ;-4.4769e+08  ;-6.49e+07  ;4.7855e+08
  ;49  ;1  ;2.9616e+07  ;3.3345e+07  ;-4.4769e+08  ;-6.4899e+07  ;4.7855e+08
  ;  ;2  ;2.9619e+07  ;8.1928e+07  ;-1.0527e+09  ;-6.4899e+07  ;1.0856e+09
  ;50  ;1  ;2.9619e+07  ;8.1971e+07  ;-1.0527e+09  ;-6.4901e+07  ;1.0856e+09
  ;  ;2  ;2.9622e+07  ;1.3058e+08  ;-1.6578e+09  ;-6.4901e+07  ;1.6925e+09
  ;51  ;1  ;-1.5998e+06  ;6.6842e+07  ;-1.3686e+09  ;-1.1512e+07  ;1.3719e+09
  ;  ;2  ;-1.5971e+06  ;6.3639e+07  ;-1.0453e+09  ;-1.1512e+07  ;1.0488e+09
  ;52  ;1  ;-1.597e+06  ;6.3639e+07  ;-1.0453e+09  ;-1.1512e+07  ;1.0488e+09
  ;  ;2  ;-1.5943e+06  ;6.0438e+07  ;-7.2197e+08  ;-1.1512e+07  ;7.2609e+08
  ;53  ;1  ;-1.5943e+06  ;6.0438e+07  ;-7.2197e+08  ;-1.1512e+07  ;7.2609e+08
  ;  ;2  ;-1.5915e+06  ;5.7239e+07  ;-3.9864e+08  ;-1.1512e+07  ;4.0432e+08
  ;54  ;1  ;-1.5915e+06  ;5.7226e+07  ;-3.9864e+08  ;-1.1511e+07  ;4.0432e+08
  ;  ;2  ;-1.5887e+06  ;5.4041e+07  ;-7.5297e+07  ;-1.1511e+07  ;9.4271e+07
  ;55  ;1  ;-1.5888e+06  ;5.4043e+07  ;-7.5295e+07  ;-1.1511e+07  ;9.4271e+07
  ;  ;2  ;-1.586e+06  ;5.085e+07  ;2.4805e+08  ;-1.1511e+07  ;2.5479e+08
  ;56  ;1  ;1.0834e+07  ;1.7891e+07  ;1.0406e+08  ;7.3437e+06  ;1.1642e+08
  ;  ;2  ;1.0838e+07  ;3.2013e+07  ;1.0636e+08  ;7.3437e+06  ;1.2191e+08
  ;57  ;1  ;1.0838e+07  ;3.2013e+07  ;1.0636e+08  ;7.3437e+06  ;1.2191e+08
  ;  ;2  ;1.0841e+07  ;4.6139e+07  ;1.0865e+08  ;7.3437e+06  ;1.2889e+08
  ;58  ;1  ;1.0841e+07  ;4.6139e+07  ;1.0865e+08  ;7.3437e+06  ;1.2889e+08
  ;  ;2  ;1.0844e+07  ;6.0269e+07  ;1.1096e+08  ;7.3437e+06  ;1.3712e+08
  ;59  ;1  ;1.0844e+07  ;6.027e+07  ;1.1096e+08  ;7.3436e+06  ;1.3712e+08
  ;  ;2  ;1.0847e+07  ;7.4403e+07  ;1.1327e+08  ;7.3436e+06  ;1.4637e+08
  ;60  ;1  ;1.0847e+07  ;7.4402e+07  ;1.1327e+08  ;7.3437e+06  ;1.4637e+08
  ;  ;2  ;1.085e+07  ;8.8538e+07  ;1.1559e+08  ;7.3437e+06  ;1.5645e+08
  ;61  ;1  ;1.085e+07  ;8.8538e+07  ;1.1559e+08  ;7.3437e+06  ;1.5645e+08
  ;  ;2  ;1.0853e+07  ;1.0268e+08  ;1.1792e+08  ;7.3437e+06  ;1.6721e+08
  ;62  ;1  ;1.0853e+07  ;1.0268e+08  ;1.1792e+08  ;7.3437e+06  ;1.6721e+08
  ;  ;2  ;1.0857e+07  ;1.1682e+08  ;1.2025e+08  ;7.3437e+06  ;1.7851e+08
  ;63  ;1  ;1.0857e+07  ;1.1682e+08  ;1.2025e+08  ;7.3437e+06  ;1.7851e+08
  ;  ;2  ;1.086e+07  ;1.3097e+08  ;1.2259e+08  ;7.3437e+06  ;1.9025e+08
  ;64  ;1  ;-1.1646e+06  ;1.036e+08  ;-1.3219e+07  ;1.3436e+07  ;1.056e+08
  ;  ;2  ;-1.1611e+06  ;6.3908e+07  ;-2.8252e+07  ;1.3436e+07  ;7.1035e+07
  ;65  ;1  ;-1.1611e+06  ;6.3908e+07  ;-2.8252e+07  ;1.3436e+07  ;7.1035e+07
  ;  ;2  ;-1.1576e+06  ;2.4222e+07  ;-4.3277e+07  ;1.3436e+07  ;5.0752e+07
Beam-7(Circuler tube 1X0.06(16_GAUGE)(56)[9])  ;  ;  ;  ;  ;  ;  ;
  ;66  ;1  ;-1.1696e+08  ;1.7086e+09  ;1.895e+09  ;6.0327e+07  ;2.6685e+09
  ;  ;2  ;-1.1696e+08  ;1.5729e+09  ;1.7254e+09  ;6.0327e+07  ;2.4518e+09
  ;67  ;1  ;-1.1696e+08  ;1.5729e+09  ;1.7254e+09  ;6.0326e+07  ;2.4518e+09
  ;  ;2  ;-1.1696e+08  ;1.4373e+09  ;1.5558e+09  ;6.0326e+07  ;2.2351e+09
  ;68  ;1  ;-1.1696e+08  ;1.4373e+09  ;1.5558e+09  ;6.0327e+07  ;2.2351e+09
  ;  ;2  ;-1.1696e+08  ;1.3017e+09  ;1.3862e+09  ;6.0327e+07  ;2.0185e+09
  ;69  ;1  ;-1.1696e+08  ;1.3017e+09  ;1.3862e+09  ;6.0326e+07  ;2.0185e+09
  ;  ;2  ;-1.1697e+08  ;1.166e+09  ;1.2165e+09  ;6.0326e+07  ;1.802e+09
  ;70  ;1  ;-1.1697e+08  ;1.166e+09  ;1.2165e+09  ;6.0327e+07  ;1.802e+09
  ;  ;2  ;-1.1697e+08  ;1.0304e+09  ;1.0468e+09  ;6.0327e+07  ;1.5858e+09
Beam-8(Circuler tube 1X0.06(16_GAUGE)(1)[1])  ;  ;  ;  ;  ;  ;  ;
  ;71  ;1  ;10,281  ;-0.88978  ;7,062.4  ;0.68973  ;17,343
  ;  ;2  ;7,200.3  ;0.66668  ;5,337.2  ;0.68973  ;12,537
  ;72  ;1  ;7,200.3  ;0.66668  ;5,337.2  ;0.68973  ;12,537
  ;  ;2  ;4,119.9  ;2.2231  ;3,611.9  ;0.68973  ;7,731.9
  ;73  ;1  ;4,119.9  ;2.2231  ;3,611.9  ;0.68973  ;7,731.9
  ;  ;2  ;1,039.6  ;3.7796  ;1,886.7  ;0.68973  ;2,926.3
  ;74  ;1  ;1,039.6  ;3.7796  ;1,886.7  ;0.68973  ;2,926.3
  ;  ;2  ;-2,040.7  ;5.336  ;161.47  ;0.68973  ;2,202.3
  ;75  ;1  ;-2,040.7  ;5.336  ;161.47  ;0.68973  ;2,202.3
  ;  ;2  ;-5,121.1  ;6.8925  ;-1,563.8  ;0.68973  ;6,684.9
Beam-9(Circuler tube 1X0.06(16_GAUGE)(6)[4])  ;  ;  ;  ;  ;  ;  ;
  ;76  ;1  ;-7.9939e+08  ;-7.0117e+06  ;-1.3349e+08  ;6.2904e+05  ;9.3307e+08
  ;  ;2  ;-7.9939e+08  ;-6.6585e+06  ;-1.2384e+08  ;6.2904e+05  ;9.2342e+08
  ;77  ;1  ;-7.9939e+08  ;-6.6585e+06  ;-1.2384e+08  ;6.2904e+05  ;9.2342e+08
  ;  ;2  ;-7.9939e+08  ;-6.2809e+06  ;-1.142e+08  ;6.2904e+05  ;9.1376e+08
  ;78  ;1  ;-7.9939e+08  ;-6.2805e+06  ;-1.142e+08  ;6.29e+05  ;9.1376e+08
  ;  ;2  ;-7.9939e+08  ;-5.8827e+06  ;-1.0455e+08  ;6.29e+05  ;9.0411e+08
  ;79  ;1  ;-7.9939e+08  ;-5.8827e+06  ;-1.0455e+08  ;6.29e+05  ;9.0411e+08
  ;  ;2  ;-7.9939e+08  ;-5.4608e+06  ;-9.49e+07  ;6.29e+05  ;8.9445e+08
  ;80  ;1  ;-7.9939e+08  ;-5.4608e+06  ;-9.49e+07  ;6.29e+05  ;8.9445e+08
  ;  ;2  ;-7.9939e+08  ;-5.0147e+06  ;-8.5253e+07  ;6.29e+05  ;8.8479e+08
  ;81  ;1  ;-7.9939e+08  ;-5.0147e+06  ;-8.5253e+07  ;6.29e+05  ;8.8479e+08
  ;  ;2  ;-7.9939e+08  ;-4.544e+06  ;-7.5604e+07  ;6.29e+05  ;8.7513e+08
  ;82  ;1  ;-7.9939e+08  ;-4.544e+06  ;-7.5604e+07  ;6.29e+05  ;8.7513e+08
  ;  ;2  ;-7.9939e+08  ;-4.0495e+06  ;-6.5955e+07  ;6.29e+05  ;8.6547e+08
  ;83  ;1  ;-7.9939e+08  ;-4.0495e+06  ;-6.5955e+07  ;6.2902e+05  ;8.6547e+08
  ;  ;2  ;-7.9939e+08  ;-3.5261e+06  ;-5.6308e+07  ;6.2902e+05  ;8.5581e+08
  ;84  ;1  ;-7.9939e+08  ;-3.5261e+06  ;-5.6308e+07  ;6.29e+05  ;8.5581e+08
  ;  ;2  ;-7.994e+08  ;-2.9825e+06  ;-4.6662e+07  ;6.29e+05  ;8.4615e+08
  ;85  ;1  ;-7.994e+08  ;-2.9825e+06  ;-4.6662e+07  ;6.29e+05  ;8.4615e+08
  ;  ;2  ;-7.994e+08  ;-2.4153e+06  ;-3.7012e+07  ;6.29e+05  ;8.3649e+08
  ;86  ;1  ;-7.994e+08  ;-2.4153e+06  ;-3.7012e+07  ;6.29e+05  ;8.3649e+08
  ;  ;2  ;-7.994e+08  ;-1.8231e+06  ;-2.7365e+07  ;6.29e+05  ;8.2682e+08
  ;87  ;1  ;-7.994e+08  ;-1.823e+06  ;-2.7365e+07  ;6.2901e+05  ;8.2682e+08
  ;  ;2  ;-7.994e+08  ;-1.2027e+06  ;-1.7716e+07  ;6.2901e+05  ;8.1715e+08
  ;88  ;1  ;-7.994e+08  ;-1.2029e+06  ;-1.7716e+07  ;6.29e+05  ;8.1715e+08
  ;  ;2  ;-7.994e+08  ;-5.6662e+05  ;-8.0671e+06  ;6.29e+05  ;8.0748e+08
  ;89  ;1  ;-7.994e+08  ;-5.6659e+05  ;-8.0671e+06  ;6.29e+05  ;8.0748e+08
  ;  ;2  ;-7.994e+08  ;97,605  ;1.5807e+06  ;6.29e+05  ;8.0098e+08
Beam-10(Circuler tube 1X0.06(16_GAUGE)(1)[4])  ;  ;  ;  ;  ;  ;  ;
  ;90  ;1  ;-14,997  ;4.2378  ;-20,644  ;-0.74527  ;35,642
  ;  ;2  ;-15,056  ;4.4609  ;-31,115  ;-0.74527  ;46,171
  ;91  ;1  ;-16,060  ;4.652  ;-31,115  ;-0.34663  ;47,176
  ;  ;2  ;-16,234  ;4.875  ;-38,394  ;-0.34663  ;54,628
  ;92  ;1  ;-16,861  ;4.9214  ;-38,394  ;0.081907  ;55,254
  ;  ;2  ;-17,144  ;5.1444  ;-42,164  ;0.081907  ;59,309
  ;93  ;1  ;-17,360  ;5.0378  ;-42,164  ;0.52732  ;59,524
  ;  ;2  ;-17,745  ;5.2609  ;-42,161  ;0.52732  ;59,906
  ;94  ;1  ;-17,629  ;5.0782  ;-42,161  ;0.86624  ;59,789
  ;  ;2  ;-17,856  ;5.1899  ;-40,671  ;0.86624  ;58,527
  ;95  ;1  ;7,480.2  ;-10.763  ;-39,532  ;2.4718  ;47,012
  ;  ;2  ;7,232.7  ;-10.374  ;-33,685  ;2.4718  ;40,917
  ;96  ;1  ;8,142.3  ;-10.93  ;-33,685  ;1.7739  ;41,827
  ;  ;2  ;7,592.5  ;-10.151  ;-24,024  ;1.7739  ;31,617
  ;97  ;1  ;8,528.1  ;-10.613  ;-24,024  ;0.86557  ;32,552
  ;  ;2  ;7,919.8  ;-9.8343  ;-17,062  ;0.86557  ;24,982
  ;98  ;1  ;8,556.3  ;-9.9855  ;-17,062  ;-0.0014389  ;25,619
  ;  ;2  ;7,908  ;-9.2068  ;-12,685  ;-0.0014389  ;20,592
  ;99  ;1  ;8,264.2  ;-9.0664  ;-12,685  ;-0.80079  ;20,949
  ;  ;2  ;7,595.5  ;-8.2877  ;-10,675  ;-0.80079  ;18,271
Beam-11(Circuler tube 1X0.06(16_GAUGE)(1)[9])  ;  ;  ;  ;  ;  ;  ;
  ;100  ;1  ;-10,424  ;-24.678  ;-1.18e+05  ;0.009387  ;1.2843e+05
  ;  ;2  ;-8,107.2  ;-10.038  ;-48,076  ;0.009387  ;56,183
  ;101  ;1  ;-8,107.2  ;-9.8717  ;-48,076  ;-0.0074552  ;56,183
  ;  ;2  ;-5,790.9  ;0.88984  ;4,370.5  ;-0.0074552  ;10,161
  ;102  ;1  ;-5,790.9  ;0.9006  ;4,370.5  ;-0.0089863  ;10,161
  ;  ;2  ;-3,474.5  ;8.1844  ;39,335  ;-0.0089863  ;42,809
  ;103  ;1  ;-3,474.5  ;8.1844  ;39,335  ;-0.0089872  ;42,809
  ;  ;2  ;-1,158.2  ;11.825  ;56,817  ;-0.0089872  ;57,975
  ;104  ;1  ;-1,158.2  ;11.825  ;56,817  ;-0.0089854  ;57,975
  ;  ;2  ;1,158.2  ;11.821  ;56,817  ;-0.0089854  ;57,975
  ;105  ;1  ;1,158.2  ;11.849  ;56,817  ;0.010919  ;57,975
  ;  ;2  ;3,474.5  ;8.2053  ;39,335  ;0.010919  ;42,809
  ;106  ;1  ;3,474.5  ;8.1471  ;39,335  ;-0.0028623  ;42,809
  ;  ;2  ;5,790.8  ;0.89061  ;4,370.5  ;-0.0028623  ;10,161
  ;107  ;1  ;5,790.8  ;0.90138  ;4,370.5  ;-0.0013309  ;10,161
  ;  ;2  ;8,107.2  ;-10.074  ;-48,076  ;-0.0013309  ;56,183
  ;108  ;1  ;8,107.2  ;-10.074  ;-48,076  ;-0.0013309  ;56,183
  ;  ;2  ;10,424  ;-24.707  ;-1.18e+05  ;-0.0013309  ;1.2843e+05
Beam-12(Circuler tube 1X0.06(16_GAUGE)(56)[3])  ;  ;  ;  ;  ;  ;  ;
  ;109  ;1  ;-3.8837e+08  ;1.3725e+07  ;-1.0054e+08  ;-5.7282e+07  ;4.8984e+08
  ;  ;2  ;-3.8837e+08  ;7.992e+06  ;-9.3355e+07  ;-5.7282e+07  ;4.8206e+08
  ;110  ;1  ;-3.8837e+08  ;7.9921e+06  ;-9.3355e+07  ;-5.7282e+07  ;4.8206e+08
  ;  ;2  ;-3.8837e+08  ;2.2594e+06  ;-8.6186e+07  ;-5.7282e+07  ;4.7458e+08
  ;111  ;1  ;-3.8837e+08  ;2.2592e+06  ;-8.6186e+07  ;-5.7282e+07  ;4.7458e+08
  ;  ;2  ;-3.8837e+08  ;-3.4736e+06  ;-7.9041e+07  ;-5.7282e+07  ;4.6749e+08
  ;112  ;1  ;-3.8837e+08  ;-3.4738e+06  ;-7.9041e+07  ;-5.7282e+07  ;4.6749e+08
  ;  ;2  ;-3.8837e+08  ;-9.2049e+06  ;-7.1916e+07  ;-5.7282e+07  ;4.6087e+08
  ;113  ;1  ;-3.8837e+08  ;-9.2043e+06  ;-7.1916e+07  ;-5.7282e+07  ;4.6087e+08
  ;  ;2  ;-3.8837e+08  ;-1.494e+07  ;-6.4811e+07  ;-5.7282e+07  ;4.5488e+08
  ;114  ;1  ;-3.8837e+08  ;-1.494e+07  ;-6.4811e+07  ;-5.7282e+07  ;4.5488e+08
  ;  ;2  ;-3.8837e+08  ;-2.0674e+07  ;-5.7732e+07  ;-5.7282e+07  ;4.4969e+08
  ;115  ;1  ;-3.8837e+08  ;-2.0674e+07  ;-5.7732e+07  ;-5.7282e+07  ;4.4969e+08
