sep=;
11:57; Saturday; October 05; 2024
Study name:Front_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;38  ;1  ;0.01775  ;-1.5619  ;1.0252e+05  ;0.072745  ;1.0252e+05
  ;  ;2  ;0.02234  ;-0.41438  ;27,199  ;0.072745  ;27,199
  ;39  ;1  ;0.04529  ;0.17759  ;27,199  ;-0.0029098  ;27,199
  ;  ;2  ;0.0407  ;-0.15027  ;-23,014  ;-0.0029098  ;23,015
  ;40  ;1  ;0.033815  ;0.15027  ;-23,014  ;-0.066926  ;23,015
  ;  ;2  ;0.033815  ;0.3142  ;-48,121  ;-0.066926  ;48,121
  ;41  ;1  ;0.033815  ;0.20947  ;-48,121  ;3.0826e-17  ;48,121
  ;  ;2  ;0.033815  ;0.20947  ;-48,121  ;3.0826e-17  ;48,121
  ;42  ;1  ;0.033815  ;0.3142  ;-48,121  ;0.066926  ;48,121
  ;  ;2  ;0.033815  ;0.15027  ;-23,014  ;0.066926  ;23,015
  ;43  ;1  ;0.0407  ;-0.15027  ;-23,014  ;0.0029098  ;23,015
  ;  ;2  ;0.04529  ;0.17759  ;27,199  ;0.0029098  ;27,199
  ;44  ;1  ;0.02234  ;-0.41438  ;27,199  ;-0.072745  ;27,199
  ;  ;2  ;0.01775  ;-1.5619  ;1.0252e+05  ;-0.072745  ;1.0252e+05
Beam-6(Circuler tube 1X0.08(14_GAUGE)(2)[5])  ;  ;  ;  ;  ;  ;  ;
  ;45  ;1  ;7.672e+06  ;-1.4011e+08  ;6.9863e+08  ;1.2414e+07  ;7.2021e+08
  ;  ;2  ;7.675e+06  ;-1.2015e+08  ;4.8702e+08  ;1.2414e+07  ;5.0929e+08
  ;46  ;1  ;7.675e+06  ;-1.2015e+08  ;4.8702e+08  ;1.2414e+07  ;5.0929e+08
  ;  ;2  ;7.6779e+06  ;-1.0018e+08  ;2.7542e+08  ;1.2414e+07  ;3.0075e+08
  ;47  ;1  ;7.678e+06  ;-1.0016e+08  ;2.7542e+08  ;1.2414e+07  ;3.0075e+08
  ;  ;2  ;7.6809e+06  ;-8.02e+07  ;6.3824e+07  ;1.2414e+07  ;1.1018e+08
  ;48  ;1  ;7.6809e+06  ;-8.0203e+07  ;6.382e+07  ;1.2414e+07  ;1.1018e+08
  ;  ;2  ;7.6838e+06  ;-6.0227e+07  ;-1.4777e+08  ;1.2414e+07  ;1.6726e+08
  ;49  ;1  ;7.6838e+06  ;-6.0234e+07  ;-1.4777e+08  ;1.2414e+07  ;1.6726e+08
  ;  ;2  ;7.6868e+06  ;-4.0265e+07  ;-3.5935e+08  ;1.2414e+07  ;3.6929e+08
  ;50  ;1  ;7.6868e+06  ;-4.025e+07  ;-3.5936e+08  ;1.2413e+07  ;3.6929e+08
  ;  ;2  ;7.6898e+06  ;-2.0269e+07  ;-5.7094e+08  ;1.2413e+07  ;5.7898e+08
  ;51  ;1  ;-3.2426e+06  ;-4.1654e+07  ;-4.678e+08  ;5.268e+06  ;4.729e+08
  ;  ;2  ;-3.2398e+06  ;-3.8606e+07  ;-3.569e+08  ;5.268e+06  ;3.6222e+08
  ;52  ;1  ;-3.2398e+06  ;-3.8606e+07  ;-3.569e+08  ;5.268e+06  ;3.6222e+08
  ;  ;2  ;-3.2371e+06  ;-3.5557e+07  ;-2.4599e+08  ;5.268e+06  ;2.5178e+08
  ;53  ;1  ;-3.2371e+06  ;-3.5557e+07  ;-2.4599e+08  ;5.268e+06  ;2.5178e+08
  ;  ;2  ;-3.2343e+06  ;-3.2504e+07  ;-1.3508e+08  ;5.268e+06  ;1.4217e+08
  ;54  ;1  ;-3.2343e+06  ;-3.2509e+07  ;-1.3508e+08  ;5.2682e+06  ;1.4217e+08
  ;  ;2  ;-3.2315e+06  ;-2.945e+07  ;-2.4156e+07  ;5.2682e+06  ;4.1321e+07
  ;55  ;1  ;-3.2315e+06  ;-2.9449e+07  ;-2.4157e+07  ;5.2682e+06  ;4.1321e+07
  ;  ;2  ;-3.2288e+06  ;-2.6392e+07  ;8.6767e+07  ;5.2682e+06  ;9.392e+07
  ;56  ;1  ;1.0628e+06  ;-2.7137e+07  ;4.2538e+07  ;-3.9941e+05  ;5.152e+07
  ;  ;2  ;1.066e+06  ;-1.9159e+07  ;4.0326e+07  ;-3.9941e+05  ;4.5712e+07
  ;57  ;1  ;1.066e+06  ;-1.9159e+07  ;4.0326e+07  ;-3.9941e+05  ;4.5712e+07
  ;  ;2  ;1.0692e+06  ;-1.1179e+07  ;3.8119e+07  ;-3.9941e+05  ;4.0794e+07
  ;58  ;1  ;1.0692e+06  ;-1.1179e+07  ;3.8119e+07  ;-3.9941e+05  ;4.0794e+07
  ;  ;2  ;1.0724e+06  ;-3.1941e+06  ;3.5919e+07  ;-3.9941e+05  ;3.7134e+07
  ;59  ;1  ;1.0724e+06  ;-3.1936e+06  ;3.592e+07  ;-3.9946e+05  ;3.7134e+07
  ;  ;2  ;1.0756e+06  ;4.7942e+06  ;3.3726e+07  ;-3.9946e+05  ;3.5141e+07
  ;60  ;1  ;1.0755e+06  ;4.7937e+06  ;3.3726e+07  ;-3.9941e+05  ;3.5141e+07
  ;  ;2  ;1.0787e+06  ;1.2785e+07  ;3.154e+07  ;-3.9941e+05  ;3.5111e+07
  ;61  ;1  ;1.0787e+06  ;1.2785e+07  ;3.154e+07  ;-3.9941e+05  ;3.5111e+07
  ;  ;2  ;1.0819e+06  ;2.078e+07  ;2.9359e+07  ;-3.9941e+05  ;3.7051e+07
  ;62  ;1  ;1.0819e+06  ;2.078e+07  ;2.9359e+07  ;-3.9941e+05  ;3.7051e+07
  ;  ;2  ;1.0851e+06  ;2.8778e+07  ;2.7186e+07  ;-3.9941e+05  ;4.0673e+07
  ;63  ;1  ;1.0851e+06  ;2.8778e+07  ;2.7186e+07  ;-3.9942e+05  ;4.0673e+07
  ;  ;2  ;1.0883e+06  ;3.6779e+07  ;2.5019e+07  ;-3.9942e+05  ;4.557e+07
  ;64  ;1  ;26,517  ;1.426e+06  ;-2.9257e+06  ;4.0058e+06  ;3.2812e+06
  ;  ;2  ;30,029  ;2.126e+06  ;-8.9197e+06  ;4.0058e+06  ;9.1996e+06
  ;65  ;1  ;30,029  ;2.126e+06  ;-8.9197e+06  ;4.0058e+06  ;9.1996e+06
  ;  ;2  ;33,541  ;2.8302e+06  ;-1.4906e+07  ;4.0058e+06  ;1.5206e+07
Beam-7(Circuler tube 1X0.06(16_GAUGE)(56)[9])  ;  ;  ;  ;  ;  ;  ;
  ;66  ;1  ;-5.3238e+07  ;-1.336e+07  ;-1.017e+08  ;-1.6822e+07  ;1.5581e+08
  ;  ;2  ;-5.3239e+07  ;-1.0241e+07  ;-9.6627e+07  ;-1.6822e+07  ;1.5041e+08
  ;67  ;1  ;-5.3239e+07  ;-1.0241e+07  ;-9.6627e+07  ;-1.6822e+07  ;1.5041e+08
  ;  ;2  ;-5.3241e+07  ;-7.1225e+06  ;-9.158e+07  ;-1.6822e+07  ;1.451e+08
  ;68  ;1  ;-5.3241e+07  ;-7.1225e+06  ;-9.158e+07  ;-1.6822e+07  ;1.451e+08
  ;  ;2  ;-5.3242e+07  ;-4.0036e+06  ;-8.6557e+07  ;-1.6822e+07  ;1.3989e+08
  ;69  ;1  ;-5.3242e+07  ;-4.0036e+06  ;-8.6557e+07  ;-1.6822e+07  ;1.3989e+08
  ;  ;2  ;-5.3244e+07  ;-8.8473e+05  ;-8.156e+07  ;-1.6822e+07  ;1.3481e+08
  ;70  ;1  ;-5.3244e+07  ;-8.8469e+05  ;-8.156e+07  ;-1.6822e+07  ;1.3481e+08
  ;  ;2  ;-5.3245e+07  ;2.2342e+06  ;-7.6586e+07  ;-1.6822e+07  ;1.2986e+08
Beam-8(Circuler tube 1X0.06(16_GAUGE)(1)[1])  ;  ;  ;  ;  ;  ;  ;
  ;71  ;1  ;2.5637e+07  ;-2.1815e+07  ;-1.0018e+08  ;-1.2295e+07  ;1.2816e+08
  ;  ;2  ;2.5634e+07  ;-3.8378e+06  ;-8.0279e+07  ;-1.2295e+07  ;1.06e+08
  ;72  ;1  ;2.5634e+07  ;-3.8378e+06  ;-8.0279e+07  ;-1.2295e+07  ;1.06e+08
  ;  ;2  ;2.5631e+07  ;1.4139e+07  ;-6.0381e+07  ;-1.2295e+07  ;8.7645e+07
  ;73  ;1  ;2.5631e+07  ;1.4139e+07  ;-6.0381e+07  ;-1.2295e+07  ;8.7645e+07
  ;  ;2  ;2.5628e+07  ;3.2116e+07  ;-4.0482e+07  ;-1.2295e+07  ;7.7303e+07
  ;74  ;1  ;2.5628e+07  ;3.2116e+07  ;-4.0482e+07  ;-1.2295e+07  ;7.7303e+07
  ;  ;2  ;2.5625e+07  ;5.0093e+07  ;-2.0584e+07  ;-1.2295e+07  ;7.9783e+07
  ;75  ;1  ;2.5625e+07  ;5.0093e+07  ;-2.0584e+07  ;-1.2295e+07  ;7.9783e+07
  ;  ;2  ;2.5622e+07  ;6.807e+07  ;-6.864e+05  ;-1.2295e+07  ;9.3696e+07
Beam-9(Circuler tube 1X0.06(16_GAUGE)(6)[4])  ;  ;  ;  ;  ;  ;  ;
  ;76  ;1  ;-3.2224e+08  ;2.9173e+07  ;-5.8637e+07  ;2.4585e+07  ;3.8773e+08
  ;  ;2  ;-3.2224e+08  ;2.4964e+07  ;-5.5997e+07  ;2.4585e+07  ;3.8355e+08
  ;77  ;1  ;-3.2224e+08  ;2.4964e+07  ;-5.5997e+07  ;2.4585e+07  ;3.8355e+08
  ;  ;2  ;-3.2224e+08  ;2.078e+07  ;-5.3356e+07  ;2.4585e+07  ;3.795e+08
  ;78  ;1  ;-3.2224e+08  ;2.078e+07  ;-5.3356e+07  ;2.4585e+07  ;3.795e+08
  ;  ;2  ;-3.2224e+08  ;1.6619e+07  ;-5.0715e+07  ;2.4585e+07  ;3.7561e+08
  ;79  ;1  ;-3.2224e+08  ;1.6619e+07  ;-5.0715e+07  ;2.4585e+07  ;3.7561e+08
  ;  ;2  ;-3.2224e+08  ;1.2481e+07  ;-4.8074e+07  ;2.4585e+07  ;3.7191e+08
  ;80  ;1  ;-3.2224e+08  ;1.2481e+07  ;-4.8074e+07  ;2.4585e+07  ;3.7191e+08
  ;  ;2  ;-3.2224e+08  ;8.3681e+06  ;-4.5434e+07  ;2.4585e+07  ;3.6844e+08
  ;81  ;1  ;-3.2224e+08  ;8.3681e+06  ;-4.5434e+07  ;2.4585e+07  ;3.6844e+08
  ;  ;2  ;-3.2224e+08  ;4.2793e+06  ;-4.2793e+07  ;2.4585e+07  ;3.6525e+08
  ;82  ;1  ;-3.2224e+08  ;4.2793e+06  ;-4.2793e+07  ;2.4585e+07  ;3.6525e+08
  ;  ;2  ;-3.2224e+08  ;2.147e+05  ;-4.0151e+07  ;2.4585e+07  ;3.6239e+08
  ;83  ;1  ;-3.2224e+08  ;2.1473e+05  ;-4.0151e+07  ;2.4585e+07  ;3.6239e+08
  ;  ;2  ;-3.2224e+08  ;-3.8238e+06  ;-3.7511e+07  ;2.4585e+07  ;3.5995e+08
  ;84  ;1  ;-3.2224e+08  ;-3.8238e+06  ;-3.7511e+07  ;2.4585e+07  ;3.5995e+08
  ;  ;2  ;-3.2224e+08  ;-7.8396e+06  ;-3.4871e+07  ;2.4585e+07  ;3.5798e+08
  ;85  ;1  ;-3.2224e+08  ;-7.8397e+06  ;-3.4871e+07  ;2.4585e+07  ;3.5798e+08
  ;  ;2  ;-3.2224e+08  ;-1.1832e+07  ;-3.223e+07  ;2.4585e+07  ;3.5658e+08
  ;86  ;1  ;-3.2224e+08  ;-1.1832e+07  ;-3.223e+07  ;2.4585e+07  ;3.5658e+08
  ;  ;2  ;-3.2224e+08  ;-1.5799e+07  ;-2.959e+07  ;2.4585e+07  ;3.5579e+08
  ;87  ;1  ;-3.2224e+08  ;-1.5799e+07  ;-2.959e+07  ;2.4585e+07  ;3.5579e+08
  ;  ;2  ;-3.2224e+08  ;-1.974e+07  ;-2.6949e+07  ;2.4585e+07  ;3.5565e+08
  ;88  ;1  ;-3.2224e+08  ;-1.974e+07  ;-2.6949e+07  ;2.4585e+07  ;3.5565e+08
  ;  ;2  ;-3.2224e+08  ;-2.3661e+07  ;-2.4307e+07  ;2.4585e+07  ;3.5617e+08
  ;89  ;1  ;-3.2224e+08  ;-2.3661e+07  ;-2.4308e+07  ;2.4585e+07  ;3.5617e+08
  ;  ;2  ;-3.2224e+08  ;-2.7556e+07  ;-2.1667e+07  ;2.4585e+07  ;3.573e+08
Beam-10(Circuler tube 1X0.06(16_GAUGE)(1)[4])  ;  ;  ;  ;  ;  ;  ;
  ;90  ;1  ;-9.4763e+07  ;-1.0024e+08  ;-6.6874e+07  ;-4.9994e+06  ;2.1526e+08
  ;  ;2  ;-9.4763e+07  ;-9.9024e+07  ;-5.3062e+07  ;-4.9994e+06  ;2.0711e+08
  ;91  ;1  ;-9.1773e+07  ;-9.5784e+07  ;-5.3062e+07  ;-1.3521e+07  ;2.0127e+08
  ;  ;2  ;-9.1773e+07  ;-9.4569e+07  ;-1.4004e+07  ;-1.3521e+07  ;1.8737e+08
  ;92  ;1  ;-8.5995e+07  ;-8.8436e+07  ;-1.4004e+07  ;-2.1527e+07  ;1.7553e+08
  ;  ;2  ;-8.5995e+07  ;-8.7221e+07  ;4.9114e+07  ;-2.1527e+07  ;1.8609e+08
  ;93  ;1  ;-7.7604e+07  ;-7.842e+07  ;4.9114e+07  ;-2.8772e+07  ;1.7013e+08
  ;  ;2  ;-7.7604e+07  ;-7.7205e+07  ;1.3437e+08  ;-2.8772e+07  ;2.3258e+08
  ;94  ;1  ;-6.9745e+07  ;-6.9031e+07  ;1.3437e+08  ;-3.3566e+07  ;2.2081e+08
  ;  ;2  ;-6.9745e+07  ;-6.8423e+07  ;1.8456e+08  ;-3.3566e+07  ;2.6658e+08
  ;95  ;1  ;1.9455e+07  ;1.0547e+07  ;-4.2436e+07  ;1.4987e+05  ;6.3182e+07
  ;  ;2  ;1.9455e+07  ;1.0997e+07  ;-2.7513e+07  ;1.4987e+05  ;4.9085e+07
  ;96  ;1  ;2.1805e+07  ;1.0864e+07  ;-2.7513e+07  ;8.6609e+05  ;5.1386e+07
  ;  ;2  ;2.1805e+07  ;1.1766e+07  ;-1.8556e+06  ;8.6609e+05  ;3.3716e+07
  ;97  ;1  ;2.4354e+07  ;1.1286e+07  ;-1.8556e+06  ;1.8745e+06  ;3.5791e+07
  ;  ;2  ;2.4353e+07  ;1.2187e+07  ;1.7554e+07  ;1.8745e+06  ;4.5723e+07
  ;98  ;1  ;2.6162e+07  ;1.1351e+07  ;1.7554e+07  ;2.9042e+06  ;4.7066e+07
  ;  ;2  ;2.6161e+07  ;1.2253e+07  ;3.0127e+07  ;2.9042e+06  ;5.8684e+07
  ;99  ;1  ;2.7175e+07  ;1.1058e+07  ;3.0127e+07  ;3.9239e+06  ;5.9267e+07
  ;  ;2  ;2.7174e+07  ;1.1959e+07  ;3.548e+07  ;3.9239e+06  ;6.4616e+07
Beam-11(Circuler tube 1X0.06(16_GAUGE)(1)[9])  ;  ;  ;  ;  ;  ;  ;
  ;100  ;1  ;-2.843e+06  ;4.7636e+07  ;9.0563e+07  ;2.1108e+07  ;1.0517e+08
  ;  ;2  ;-2.8407e+06  ;2.9947e+07  ;6.8876e+07  ;2.1108e+07  ;7.7945e+07
  ;101  ;1  ;-2.8406e+06  ;2.9947e+07  ;6.8876e+07  ;2.1108e+07  ;7.7945e+07
  ;  ;2  ;-2.8383e+06  ;1.2258e+07  ;4.7171e+07  ;2.1108e+07  ;5.1576e+07
  ;102  ;1  ;-2.8383e+06  ;1.2258e+07  ;4.7171e+07  ;2.1108e+07  ;5.1576e+07
  ;  ;2  ;-2.836e+06  ;-5.4306e+06  ;2.5449e+07  ;2.1108e+07  ;2.8858e+07
  ;103  ;1  ;-2.836e+06  ;-5.4306e+06  ;2.5449e+07  ;2.1108e+07  ;2.8858e+07
  ;  ;2  ;-2.8337e+06  ;-2.3119e+07  ;3.7096e+06  ;2.1108e+07  ;2.6249e+07
  ;104  ;1  ;-2.8337e+06  ;-2.3119e+07  ;3.7096e+06  ;2.1108e+07  ;2.6249e+07
  ;  ;2  ;-2.8314e+06  ;-4.0808e+07  ;-1.8047e+07  ;2.1108e+07  ;4.7452e+07
  ;105  ;1  ;-2.8314e+06  ;-4.0808e+07  ;-1.8047e+07  ;2.1108e+07  ;4.7452e+07
  ;  ;2  ;-2.8291e+06  ;-5.8497e+07  ;-3.9822e+07  ;2.1108e+07  ;7.3594e+07
  ;106  ;1  ;-2.8291e+06  ;-5.8497e+07  ;-3.9822e+07  ;2.1108e+07  ;7.3594e+07
  ;  ;2  ;-2.8268e+06  ;-7.6186e+07  ;-6.1614e+07  ;2.1108e+07  ;1.0081e+08
  ;107  ;1  ;-2.8268e+06  ;-7.6186e+07  ;-6.1614e+07  ;2.1108e+07  ;1.0081e+08
  ;  ;2  ;-2.8244e+06  ;-9.3875e+07  ;-8.3423e+07  ;2.1108e+07  ;1.2841e+08
  ;108  ;1  ;-2.8244e+06  ;-9.3875e+07  ;-8.3423e+07  ;2.1108e+07  ;1.2841e+08
  ;  ;2  ;-2.8221e+06  ;-1.1156e+08  ;-1.0525e+08  ;2.1108e+07  ;1.562e+08
Beam-12(Circuler tube 1X0.06(16_GAUGE)(56)[3])  ;  ;  ;  ;  ;  ;  ;
  ;109  ;1  ;-2.8789e+08  ;1.3514e+08  ;5.7095e+07  ;-1.6698e+07  ;4.346e+08
  ;  ;2  ;-2.8789e+08  ;1.2386e+08  ;5.2696e+07  ;-1.6698e+07  ;4.225e+08
  ;110  ;1  ;-2.8789e+08  ;1.2386e+08  ;5.2696e+07  ;-1.6698e+07  ;4.225e+08
  ;  ;2  ;-2.8789e+08  ;1.1259e+08  ;4.8277e+07  ;-1.6698e+07  ;4.1039e+08
  ;111  ;1  ;-2.8789e+08  ;1.1259e+08  ;4.8277e+07  ;-1.6698e+07  ;4.1039e+08
  ;  ;2  ;-2.8789e+08  ;1.0131e+08  ;4.3833e+07  ;-1.6698e+07  ;3.9828e+08
  ;112  ;1  ;-2.8789e+08  ;1.0131e+08  ;4.3833e+07  ;-1.6698e+07  ;3.9828e+08
  ;  ;2  ;-2.8789e+08  ;9.0035e+07  ;3.937e+07  ;-1.6698e+07  ;3.8616e+08
